sample_name,tp,tn,fp,fn,accuracy,precision,recall,f1,iou
100,48593,11920,1974,3049,0.9233551025390625,0.9609626831728202,0.9409589094148174,0.9508555998004089,0.9063152790211877
110,46346,14216,1513,3461,0.924102783203125,0.9683863014271088,0.9305117754532496,0.9490713247189401,0.903078721745908
145,47413,13058,2459,2606,0.9227142333984375,0.9506937760667308,0.9478997980767309,0.9492947312570702,0.9034833644574869
250,47664,12200,3038,2634,0.9134521484375,0.9400812591219281,0.9476321126088513,0.9438415841584159,0.8936553172341383
280,43546,13431,5431,3128,0.8694000244140625,0.8891112154684853,0.9329819599777178,0.9105184472718529,0.8357355340178486
435,48563,11579,2498,2896,0.917694091796875,0.9510781222459411,0.9437221865951534,0.9473858759266485,0.9000315065700465
45,42171,17321,3526,2518,0.90777587890625,0.9228395737138105,0.9436550381525655,0.9331312371384949,0.8746448200767396
450,46552,13404,1983,3597,0.91485595703125,0.9591428865766972,0.9282737442421584,0.9434558793725426,0.8929640144249213
460,45397,14120,3190,2829,0.9081573486328125,0.9343445777677156,0.9413386969684403,0.9378285973991096,0.8829352730667497
495,41894,18011,2894,2737,0.9140777587890625,0.9353844779851745,0.9386749120566422,0.9370268063834308,0.8815149921094161
